Call Number,Author,Title,Barcode,Year,Date Acquired,Status,Circs
F AAR,"Aaron, Rachel.",Garrison girl,,2018,9/26/2019,Follett eBook,0
F AAR,"Aarsen, Zoe.",Light as a feather,3043700010250,2018,8/9/2019,Available,1
F ABA,"Abawi, Atia.",A land of permanent goodbyes,3043700010122,2018,8/9/2019,Available,0
F ABA,"Abawi, Atia.",The secret sky : a novel of forbidden love in Afghanistan,3043700011321,2015,8/9/2019,Available,0
F ABB,"Abbott, Megan E., 1971-",Dare me : a novel,3043700014653,2013,12/5/2019,Available,0
F ABB,"Abbott, Megan E., 1971-",The fever : a novel,3043700008946,2014,8/9/2019,Available,0
F ABB,"Abbott, Tony, 1952-",Junk boy,,2020,2/12/2021,Follett eBook,0
F ABD,"Abdel-Fattah, Randa,",Does my head look big in this?,3043700008801,2005,8/9/2019,Available,0
F ABD,"Abdel-Fattah, Randa.",The lines we cross,3043700010266,2017,8/9/2019,Available,0
F ABE,"Abercrombie, Joe.",Half a king,3043700009682,2014,8/9/2019,Available,0
F ABE,"Abercrombie, Joe,",Half a war,3043700009683,2016,8/9/2019,Available,0
F ABE,"Abercrombie, Joe.",Half the world,3043700009689,2015,8/9/2019,Available,0
F ABI,"°bíké-Íyímídé, Faridah,",Ace of spades,3043700017743,2021,5/10/2022,Checked Out,4
F ABR,"Abraham, Brad,",Magicians impossible,3043700012918,2017,12/5/2019,Available,0
F ABR,"Abrahams, Peter, 1947-",Behind the curtain : an Echo Falls mystery,3043700008080,2007,8/9/2019,Available,0
F ABR,"Abrahams, Peter, 1947-",Down the rabbit hole : an Echo Falls mystery,3043700009087,2006,8/9/2019,Available,0
F ABR,"Abrahams, Peter, 1947-",Reality check,3043700014739,2010,12/5/2019,Available,0
F ABR,"Abrams, Amir.",Chasing butterflies,,2016,9/26/2019,Follett eBook,0
F ABR,"Abrams, Dennis, 1960-",I was Cleopatra,,2018,9/26/2019,Follett eBook,0
F ACE,"Acevedo, Elizabeth.",Clap when you land,,2020,8/28/2020,Follett eBook,0
F ACE,"Acevedo, Elizabeth.",Clap when you land,3043700016776,2020,12/14/2020,Checked Out,5
F ACE,"Acevedo, Elizabeth.",Clap when you land,3043700016777,2020,12/14/2020,Checked Out,2
F ACE,"Acevedo, Elizabeth,",Inheritance : a visual poem,3043700071391,2022,9/30/2022,Available,0
F ACE,"Acevedo, Elizabeth.",The poet X,,2018,9/3/2019,Follett eBook,0
F ACE,"Acevedo, Elizabeth.",The poet X,3043700013413,2018,12/5/2019,Available,3
F ACE,"Acevedo, Elizabeth.",With the fire on high,,2019,9/3/2019,Follett eBook,0
F ACE,"Acevedo, Kristy.",Consider,,2016,9/26/2019,Follett eBook,0
F ACE,"Aceves, Fred.",The closest I've come,3043700008459,2017,8/9/2019,Available,0
F ACE,"Aceves, Fred.",The new David Espinoza,,2020,8/28/2020,Follett eBook,0
F ACE,"Aceves, Fred.",The new David Espinoza,3043700016281,2020,5/20/2020,Available,0
F ACH,"Achebe, Chinua.",Things fall apart : with connections,3043700011860,,8/9/2019,Available,0
F ACH,"Acheson, A. S.",Fighting words,3043700012737,2014,12/5/2019,Available,0
F ACK,"Ackroyd, Peter, 1949-",The Canterbury tales,3043700008353,2010,8/9/2019,Available,0
F ACT,"Acton, Vanessa.",Aftershock,3043700002692,2017,8/9/2019,Available,0
F ACT,"Acton, Vanessa.",Backfire,3043700003350,2017,8/9/2019,Available,0
F ACT,"Acton, Vanessa.",Vortex,3043700012178,2017,8/9/2019,Available,0
F ADA,"Adam, Paul, 1958-",Max Cassidy : escape from Shadow Island,3043700010432,2011,8/9/2019,Available,0
F ADA,"Adams, Carolyn Lee.",Ruthless,3043700011208,2015,8/9/2019,Available,0
F ADA,"Adams, Douglas, 1952-",The hitchhiker's guide to the galaxy,3043700009782,,8/9/2019,Checked Out,4
F ADA,"Adams, Douglas, 1952-","Life, the universe, and everything",3043700010243,1995,8/9/2019,Available,0
F ADA,"Adams, Douglas, 1952-",Mostly harmless,3043700010506,2005,8/9/2019,Available,0
F ADA,"Adams, Douglas, 1952-",The restaurant at the end of the universe,3043700011089,1985,8/9/2019,Available,0
F ADA,"Adams, Douglas, 1952-","So long, and thanks for all the fish",3043700011563,1999,8/9/2019,Available,0
F ADA,"Adams, Guy, 1976-",Joyride,3043700008614,2017,8/9/2019,Available,0
F ADA,"Adams, Richard, 1920-",Watership Down,3043700012236,1996,8/9/2019,Available,0
F ADE,"Adeyemi, Tomi.",Children of blood and bone,,2018,9/3/2019,Follett eBook,0
F ADE,"Adeyemi, Tomi.",Children of blood and bone,3043700008413,2018,8/9/2019,Available,4
F ADE,"Adeyemi, Tomi.",Children of blood and bone,3043700017045,2018,12/14/2020,Available,0
F ADE,"Adeyemi, Tomi.",Children of virtue and vengeance,3043700016202,2019,5/20/2020,Available,0
F ADI,"Adichie, Chimamanda Ngozi, 1977-",Half of a yellow sun,3043700014497,2007,12/5/2019,Available,0
F ADI,"Adichie, Chimamanda Ngozi, 1977-",Purple hibiscus a novel,,2012,9/26/2019,Follett eBook,0
F ADI,"Adichie, Chimamanda Ngozi, 1977-",Purple hibiscus : a novel,3043700014730,2012,12/5/2019,Available,0
F ADI,"Adiga, Aravind.",The white tiger,,2008,9/3/2019,Follett eBook,0
F ADL,"Adlington, L. J. (Lucy J.), 1970-",The red ribbon,3043700011058,2018,8/9/2019,Available,0
F ADO,"Adornetto, Alexandra.",Ghost house,3043700012749,2014,12/5/2019,Available,0
F ADO,"Adornetto, Alexandra.",Hades,3043700009680,2011,8/9/2019,Available,0
F ADO,"Adornetto, Alexandra.",Halo,3043700009693,2011,8/9/2019,Available,0
F ADO,"Adornetto, Alexandra.",Heaven,3043700009739,2012,8/9/2019,Available,0
F ADR,"Adrian, Emily.",The foreseeable future,3043700009334,2018,8/9/2019,Available,1
F ADR,"Adrian, Susan,",Tunnel vision,3043700012009,2015,8/9/2019,Available,0
F AGU,"Aguilar Zeleny, Sylvia, 1973-",The everything I have lost,3043700016220,2020,5/20/2020,Available,0
F AGU,"Aguirre, Ann.",Horde,3043700013279,2013,12/5/2019,Available,0
F AGU,"Aguirre, Ann,",Infinite risk,3043700009952,2016,8/9/2019,Available,0
F AGU,"Aguirre, Ann,",Mortal danger,3043700010501,2014,8/9/2019,Available,0
F AGU,"Aguirre, Ann.",Outpost,3043700014574,2013,12/5/2019,Available,0
F AGU,"Aguirre, Ann.",Public enemies,3043700010958,2015,8/9/2019,Available,0
F AGU,"Aguirre, Ann.",The queen of bright and shiny things,3043700014065,2016,12/5/2019,Available,0
F AHD,"Ahdieh, Renée.",The beautiful,3043700016187,2019,5/20/2020,Available,0
